epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,727.49,1.08397,0.78938,2.31695,0.93778,0.96875,0.97936,0.93561,0.71894,0.50093,2.10274,0.0002972,0.0002972,0.0002972
88,735.641,1.06516,0.73548,2.31626,1,0.92688,0.98718,0.93555,0.74768,0.43454,2.06772,0.0002774,0.0002774,0.0002774
89,743.817,1.14104,0.77661,2.35664,0.96737,0.9375,0.98139,0.93472,0.6934,0.46254,2.01896,0.0002576,0.0002576,0.0002576
90,751.892,1.02332,0.7429,2.32825,0.93738,0.93561,0.9707,0.93457,0.65163,0.54316,1.94061,0.0002378,0.0002378,0.0002378
91,791.349,0.61315,0.50108,2.10877,0.96659,0.90405,0.97071,0.93371,0.60683,0.62029,1.92686,0.000218,0.000218,0.000218
92,799.381,0.65104,0.51906,2.09822,1,0.89935,0.96714,0.93874,0.5798,0.60719,1.97363,0.0001982,0.0001982,0.0001982
93,807.526,0.5752,0.45522,2.00368,0.96716,0.92065,0.96634,0.93788,0.6098,0.56887,1.99031,0.0001784,0.0001784,0.0001784
94,815.604,0.58984,0.54302,2.14026,0.9653,0.90625,0.95907,0.93329,0.60988,0.59417,1.98938,0.0001586,0.0001586,0.0001586
95,823.624,0.55315,0.41956,2.06197,0.92607,0.96875,0.96519,0.93951,0.57948,0.57737,1.97708,0.0001388,0.0001388,0.0001388
96,831.759,0.55203,0.42244,2.02202,0.93756,0.96875,0.96319,0.93415,0.57664,0.57324,1.98126,0.000119,0.000119,0.000119
97,839.803,0.5652,0.40081,2.04498,0.96844,0.95899,0.97646,0.94884,0.58135,0.5337,1.97857,9.92e-05,9.92e-05,9.92e-05
98,847.956,0.53853,0.40429,2.0667,1,0.9575,0.98024,0.9529,0.57758,0.51328,1.96439,7.94e-05,7.94e-05,7.94e-05
99,856.1,0.49358,0.38498,2.05666,0.99155,0.96875,0.97871,0.95262,0.59131,0.51758,1.97983,5.96e-05,5.96e-05,5.96e-05
100,864.166,0.48254,0.40139,2.01171,1,0.93247,0.98218,0.95852,0.57318,0.49805,1.95413,3.98e-05,3.98e-05,3.98e-05
