epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,13011.5,0.54743,0.23849,0.835,0.99797,0.99933,0.99457,0.90222,0.51209,0.19802,0.82618,0.0005744,0.0005744,0.0005744
74,13199,0.54998,0.23846,0.83592,0.99736,0.99972,0.99457,0.90122,0.51625,0.19887,0.82893,0.0005546,0.0005546,0.0005546
75,13386.6,0.5425,0.23652,0.83579,0.99714,0.9996,0.99453,0.90344,0.50842,0.19679,0.8256,0.0005348,0.0005348,0.0005348
76,13572.3,0.54394,0.23428,0.83297,0.99714,0.99987,0.9946,0.90264,0.51196,0.19672,0.8265,0.000515,0.000515,0.000515
77,13755.6,0.54383,0.23462,0.83502,0.99741,0.99972,0.99466,0.90314,0.51014,0.19588,0.82626,0.0004952,0.0004952,0.0004952
78,13924.6,0.54166,0.23297,0.83247,0.99735,0.99963,0.99467,0.90241,0.51103,0.19464,0.82648,0.0004754,0.0004754,0.0004754
79,14092.3,0.53694,0.23001,0.83369,0.99803,0.99944,0.99465,0.90344,0.50793,0.19331,0.82531,0.0004556,0.0004556,0.0004556
80,14260.2,0.53411,0.22892,0.83167,0.99759,0.99963,0.99467,0.90464,0.50573,0.19311,0.82457,0.0004358,0.0004358,0.0004358
81,14428,0.53386,0.2286,0.83314,0.99742,0.99963,0.99464,0.90481,0.50246,0.19231,0.82401,0.000416,0.000416,0.000416
82,14595.9,0.53475,0.22911,0.832,0.99705,0.99989,0.99461,0.90372,0.50492,0.19323,0.82448,0.0003962,0.0003962,0.0003962
83,14768.3,0.53343,0.22664,0.83224,0.99701,1,0.99465,0.9053,0.50138,0.19172,0.82364,0.0003764,0.0003764,0.0003764
84,14938.1,0.52873,0.22614,0.83202,0.99704,1,0.99469,0.90506,0.50097,0.19104,0.8235,0.0003566,0.0003566,0.0003566
85,15105.8,0.52666,0.22489,0.83101,0.99758,0.99981,0.99469,0.90463,0.50341,0.19071,0.82412,0.0003368,0.0003368,0.0003368
86,15275.2,0.52996,0.22456,0.83134,0.99686,0.99985,0.99468,0.90631,0.50058,0.19022,0.82315,0.000317,0.000317,0.000317
87,15445.5,0.52552,0.22278,0.82967,0.99732,0.99934,0.99466,0.90503,0.50024,0.19017,0.82349,0.0002972,0.0002972,0.0002972
88,15616.5,0.52156,0.22152,0.82857,0.99693,0.99972,0.99466,0.9056,0.50031,0.1899,0.82319,0.0002774,0.0002774,0.0002774
89,15793.1,0.52117,0.22011,0.82881,0.99668,0.9998,0.99465,0.90572,0.49971,0.18974,0.82312,0.0002576,0.0002576,0.0002576
90,15971,0.52094,0.22033,0.82851,0.99686,0.99959,0.99466,0.90562,0.50192,0.18992,0.82427,0.0002378,0.0002378,0.0002378
91,16170.9,0.50528,0.20559,0.83234,0.99751,0.99934,0.9946,0.90546,0.50072,0.18963,0.82377,0.000218,0.000218,0.000218
92,16349.4,0.50063,0.20497,0.83039,0.99742,0.99955,0.99455,0.90692,0.49586,0.18955,0.82204,0.0001982,0.0001982,0.0001982
93,16525.7,0.49741,0.20266,0.83069,0.99726,0.99981,0.99466,0.90746,0.49592,0.18846,0.82186,0.0001784,0.0001784,0.0001784
94,16700.1,0.49588,0.20103,0.82839,0.99738,0.99963,0.99462,0.90695,0.49633,0.18802,0.82197,0.0001586,0.0001586,0.0001586
95,16874.9,0.49519,0.20057,0.82741,0.99751,0.99951,0.99464,0.90646,0.49805,0.18824,0.82269,0.0001388,0.0001388,0.0001388
96,17049.1,0.49155,0.19912,0.82566,0.99727,0.99954,0.99465,0.90777,0.49537,0.18762,0.82149,0.000119,0.000119,0.000119
97,17225.1,0.48997,0.1982,0.82863,0.99714,0.99981,0.99467,0.90723,0.49735,0.18739,0.82263,9.92e-05,9.92e-05,9.92e-05
98,17404,0.4875,0.19627,0.8278,0.99723,0.99955,0.99469,0.90727,0.49612,0.18723,0.82244,7.94e-05,7.94e-05,7.94e-05
99,17576.5,0.48541,0.1964,0.82466,0.99714,0.99972,0.99469,0.90803,0.49345,0.18695,0.82149,5.96e-05,5.96e-05,5.96e-05
100,17749.1,0.48598,0.19665,0.82603,0.99723,0.99969,0.99465,0.90719,0.49363,0.1865,0.82129,3.98e-05,3.98e-05,3.98e-05
